Comments,PublishedAt,Author,Like_Counts,Reply_Comments
"Beat of this song sounds like Marathi block buster movie PINJARA's  song ""AALI MURDAT NAAK LACHKAT MAAN """,2024-06-01T10:10:56Z,@pravinkaradage3519,0,0
Allu Arjun fan like podunga 💕💕💕💕 rashmika fans like me comment,2024-06-01T10:08:58Z,@user-oc6zr7rn2j,1,0
OUTSTANDING MAM SHREYA GHOSHAL......AMAZ SOMG IT GOT MAHARASHTRIAN TOUCH❤❤❤❤❤,2024-06-01T09:34:24Z,@brave4723,8,1
Super,2024-06-01T09:09:42Z,@Ruffahhhoruwork_part2,0,0
enna da arrahman song a copy adichi irukinga😃😃,2024-06-01T08:20:15Z,@mandrakeguy88s95,0,0
Idelam oru dance step ah 😂😂😮‍💨😭,2024-06-01T07:58:10Z,@lalisa_editz_,0,0
"Rajalakshmi paadi irukkalaam.
 Saami song version 2 pola irundhirukkum.",2024-06-01T07:37:24Z,@gayathrikarthikeyan6115,2,0
Actually nalla thaan da iruku apuram enda ivolvu hatred koturinga 😢❤,2024-06-01T07:20:41Z,@metro1749,5,0
So cute,2024-06-01T07:12:38Z,@BasavarajUkkali-if9vz,0,0
🤢,2024-06-01T06:57:42Z,@kd_staz,0,0
🤣🤣boring song😅😅😅,2024-06-01T06:48:11Z,@user-zp7tk4gq3x,2,0
Pls info pass,2024-06-01T06:36:37Z,@Jagadeesanmannaru5,0,0
"Thieves in program homes
⬜⬛⬜⬛⬜⬜",2024-06-01T06:36:12Z,@Jagadeesanmannaru5,0,0
https://youtu.be/LbSGDr9YMtE,2024-06-01T06:01:24Z,@AVNStoryGames,0,0
Shreya Ghoshal's voice is pure intoxication❤,2024-06-01T05:26:14Z,@xavierunclejpg,6,0
Shreya Ghoshal made this song very melodious with her magical voice as always. DSP s completely diff journal of song in the recent times.,2024-06-01T05:14:11Z,@byravi79,3,0
Wow super cute movie pushpa 2 😍😍😍😍😍,2024-06-01T05:13:36Z,@Pungodi-bn3is,0,0
"Nallavella indha rajalakshmi ya podala , ivangalavida ava rombha attam potrupa😂",2024-06-01T04:38:40Z,@Kaadhaldesam99,5,0
lyrics😍💥❤,2024-06-01T04:20:54Z,@Gika.,0,0
Viveka sir super lyrics ❤❤❤,2024-06-01T04:00:47Z,@hemanthbalu.2102,1,0
Shreya Ghoshal ❤️✨,2024-06-01T03:59:14Z,@EsakkiMuthuChellappa,1,0
Wow amazing,2024-06-01T03:23:53Z,@cute-tm1lv,0,0
nanare nannare guru song,2024-06-01T03:11:44Z,@tysonbala,0,0
Actually the beard style in this movie was a copy from Maari movie mustache style right. I realized it in first part itself but had a chance to comment nw oly.,2024-06-01T03:02:29Z,@deepak_7383,0,0
Enna ilavu ithu😂😂😂😂,2024-06-01T02:41:12Z,@luckylucky194,1,0
3:27 seat changed 😂,2024-06-01T02:08:06Z,@Theivis7Ivis,0,0
Some Kind of Joy after seeing this Song completely 😅❤ All love,2024-05-31T22:40:18Z,@Rhythm.And.PoeTree,0,0
Background dancers having best time of their life..😂,2024-05-31T19:34:55Z,@ashishs4665,0,0
Worst love song I have ever heard 😅😅,2024-05-31T18:12:32Z,@vibinfinix9585,1,1
They way Allu Arjun sits in heroine chair while rashmika sits in his chair 🤌🏻❤️,2024-05-31T17:48:01Z,@rakshitha.15,2,0
"Enakku mattum than Karakattakaran ""Kanaga"" ivala vida azhagunnu thonutha",2024-05-31T17:47:03Z,@sureshkumar7270,0,0
Like this Smiley 💕,2024-05-31T17:45:17Z,@m.c.sakthisree,1,0
Shreya goshal voice melting ♥️✨✨,2024-05-31T17:40:32Z,@viratkishor7587,3,0
boycott rashmika mandanna 🤬,2024-05-31T16:38:34Z,@mech0797,0,0
Best of gavi jungle traveling 🔥🔥🔥🔥🔥🔥🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘🐘 #gavi #animals🐘,2024-05-31T16:21:41Z,@dharmmagavi2441,0,0
🐘,2024-05-31T16:16:04Z,@dharmmagavi2441,0,0
Those who need notatioms of this song may refer the tutorial video on my channel,2024-05-31T16:09:16Z,@TheWorldofSwaras,0,0
